kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mlx_attention_proxy.1.sm_70.ptx 463 : 128 1152 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 441 : 128 640 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 440 : 128 768 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 437 : 131072 654720 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 436 : 131072 786432 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 435 : 131072 1572864 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 434 : 131072 1441792 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 433 : 131072 1310720 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 432 : 131072 1179648 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 431 : 131072 1310720 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 430 : 131072 15106240 0 0 0 131072 4096 0 0 
mlx_attention_proxy.1.sm_70.ptx 429 : 131072 11043008 0 0 0 4096 4096 0 0 
mlx_attention_proxy.1.sm_70.ptx 428 : 131072 1310720 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 427 : 131072 15396128 0 0 0 131072 4096 0 0 
mlx_attention_proxy.1.sm_70.ptx 426 : 131072 11332896 0 0 0 4096 4096 0 0 
mlx_attention_proxy.1.sm_70.ptx 425 : 131072 1310720 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 424 : 131072 12542656 0 0 0 131072 4096 0 0 
mlx_attention_proxy.1.sm_70.ptx 423 : 131072 8463136 0 0 0 4096 4096 0 0 
mlx_attention_proxy.1.sm_70.ptx 422 : 131072 1310720 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 421 : 131072 23934560 0 0 0 131072 4096 0 0 
mlx_attention_proxy.1.sm_70.ptx 399 : 128 0 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 398 : 128 768 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 397 : 128 1280 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 396 : 128 736 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 395 : 128 768 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 394 : 128 800 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 393 : 128 896 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 392 : 128 928 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 391 : 128 1664 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 420 : 131072 11057952 0 0 0 4096 4096 0 0 
mlx_attention_proxy.1.sm_70.ptx 390 : 128 1792 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 389 : 128 1504 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 388 : 128 864 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 417 : 128 896 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 387 : 128 608 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 416 : 128 1152 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 401 : 128 768 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 461 : 128 768 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 402 : 128 768 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 462 : 128 1152 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 403 : 128 0 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 464 : 128 1888 0 0 0 16 4 0 0 
mlx_attention_proxy.1.sm_70.ptx 405 : 128 1152 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 406 : 128 896 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 407 : 128 768 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 467 : 128 640 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 408 : 128 768 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 409 : 128 768 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 410 : 128 0 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 412 : 128 1152 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 413 : 128 1280 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 414 : 128 1152 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 415 : 128 1152 0 0 0 0 0 0 0 
