kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mlx_attention_proxy.1.sm_70.ptx 671 : 64 256 0 0 0 8 2 0 0 
mlx_attention_proxy.1.sm_70.ptx 565 : 65536 327680 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 558 : 64 576 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 554 : 64 0 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 530 : 64 320 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 529 : 64 384 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 526 : 65536 327360 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 525 : 65536 393216 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 524 : 65536 720896 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 523 : 65536 655360 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 522 : 65536 589824 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 521 : 65536 1179648 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 520 : 65536 4128768 0 0 0 65536 2048 0 0 
mlx_attention_proxy.1.sm_70.ptx 519 : 65536 1179648 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 518 : 65536 4128768 0 0 0 65536 2048 0 0 
mlx_attention_proxy.1.sm_70.ptx 517 : 65536 1179648 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 496 : 64 384 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 623 : 65536 6881280 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 553 : 64 384 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 494 : 128 320 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 621 : 65536 393216 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 552 : 64 384 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 493 : 128 768 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 620 : 65536 393216 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 559 : 64 576 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 500 : 64 576 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 627 : 65536 720896 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 551 : 64 384 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 492 : 128 1280 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 619 : 65536 720896 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 550 : 64 448 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 491 : 128 768 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 618 : 65536 655360 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 549 : 64 576 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 490 : 128 768 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 617 : 65536 393216 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 489 : 128 768 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 616 : 65536 589824 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 547 : 64 0 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 674 : 128 640 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 488 : 128 1024 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 615 : 65536 655360 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 546 : 64 320 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 487 : 128 1472 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 614 : 65536 393216 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 516 : 65536 3866624 0 0 0 65536 2048 0 0 
mlx_attention_proxy.1.sm_70.ptx 486 : 128 1536 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 613 : 65536 655360 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 515 : 65536 1179648 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 485 : 128 864 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 612 : 65536 589824 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 514 : 65536 9143264 0 0 0 65536 2048 0 0 
mlx_attention_proxy.1.sm_70.ptx 484 : 128 608 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 611 : 65536 3604480 0 0 0 65536 2048 0 0 
