kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mlx_attention_proxy.1.sm_70.ptx 369 : 8192 40960 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 366 : 8192 64576 0 0 0 2048 256 0 0 
mlx_attention_proxy.1.sm_70.ptx 365 : 8192 2725184 0 0 0 2048 256 0 0 
mlx_attention_proxy.1.sm_70.ptx 364 : 8192 137600 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 363 : 8192 125216 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 362 : 8192 91456 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 361 : 8192 54688 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 360 : 8192 50848 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 358 : 8192 0 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 357 : 8192 91456 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 356 : 8192 136672 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 355 : 8192 59200 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 354 : 8192 44192 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 353 : 8192 76128 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 352 : 8192 108032 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 351 : 8192 106496 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 350 : 8192 166240 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 309 : 94208 1189632 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 55 : 94208 1817344 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 308 : 94208 1116224 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 54 : 94208 2371200 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 299 : 58334 665200 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 172 : 94208 629984 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 180 : 35874 409178 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 307 : 94208 616864 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 53 : 94208 65232960 32768 0 0 47104 2944 0 0 
mlx_attention_proxy.1.sm_70.ptx 179 : 35874 218608 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 306 : 94208 1097280 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 52 : 94208 69154272 163840 0 0 47104 2944 0 0 
mlx_attention_proxy.1.sm_70.ptx 178 : 35874 222554 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 305 : 94208 662400 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 51 : 94208 2456192 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 304 : 94208 1086880 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 50 : 94208 1473536 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 303 : 94208 659584 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 176 : 94208 359209 0 0 0 0 0 0 1886 
mlx_attention_proxy.1.sm_70.ptx 49 : 94208 1142080 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 302 : 94208 699136 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 175 : 94208 598304 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 48 : 94208 640192 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 174 : 94208 919840 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 47 : 94208 679936 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 189 : 94208 1077632 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 62 : 94208 14800064 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 33 : 94208 471040 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 173 : 94208 641632 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 46 : 94208 763008 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 34 : 94208 2164832 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 35 : 94208 1196704 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 290 : 94208 906912 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 36 : 94208 1224704 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 291 : 94208 641632 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 37 : 94208 1247744 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 292 : 94208 621760 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 38 : 94208 1493664 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 293 : 94208 930304 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 39 : 94208 793312 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 294 : 94208 579136 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 40 : 94208 653312 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 295 : 94208 221152 0 0 0 0 0 0 1886 
mlx_attention_proxy.1.sm_70.ptx 41 : 94208 692032 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 42 : 94208 1211008 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 297 : 58334 363340 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 43 : 94208 802176 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 298 : 58334 364991 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 44 : 94208 0 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 190 : 94208 1111616 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 63 : 94208 565248 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 318 : 94208 1492480 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 191 : 94208 631296 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 64 : 94208 849920 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 319 : 94208 1420128 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 192 : 94208 634912 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 65 : 94208 565248 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 310 : 94208 832416 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 56 : 94208 1313344 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 183 : 94208 671552 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 320 : 94208 1376864 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 193 : 94208 291592 0 0 0 0 0 0 2142 
