kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mlx_attention_proxy.1.sm_70.ptx 463 : 2048 18560 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 441 : 2048 10240 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 440 : 2048 12288 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 437 : 2097152 10481888 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 436 : 2097152 12584096 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 435 : 2097152 24951360 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 434 : 2097152 22892160 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 433 : 2097152 21140672 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 432 : 2097152 18911584 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 431 : 2097152 21083392 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 430 : 2097152 391552000 839360 0 0 2097152 65536 0 0 
mlx_attention_proxy.1.sm_70.ptx 429 : 2097152 358984864 256 0 0 65536 65536 0 0 
mlx_attention_proxy.1.sm_70.ptx 428 : 2097152 21119008 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 427 : 2097152 396500800 912032 0 0 2097152 65536 0 0 
mlx_attention_proxy.1.sm_70.ptx 426 : 2097152 365826432 416 0 0 65536 65536 0 0 
mlx_attention_proxy.1.sm_70.ptx 425 : 2097152 21150848 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 424 : 2097152 400502560 1023936 0 0 2097152 65536 0 0 
mlx_attention_proxy.1.sm_70.ptx 423 : 2097152 369693984 480 0 0 65536 65536 0 0 
mlx_attention_proxy.1.sm_70.ptx 422 : 2097152 21104576 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 421 : 2097152 702448640 33817984 0 0 2097152 65536 0 0 
mlx_attention_proxy.1.sm_70.ptx 399 : 2048 0 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 398 : 2048 12288 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 397 : 2048 22016 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 396 : 2048 12032 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 395 : 2048 12032 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 394 : 2048 12288 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 393 : 2048 17664 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 392 : 2048 24064 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 391 : 2048 28160 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 420 : 2097152 394802432 19968 0 0 65536 65536 0 0 
mlx_attention_proxy.1.sm_70.ptx 390 : 2048 25856 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 389 : 2048 23040 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 388 : 2048 39680 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 417 : 2048 14336 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 387 : 2048 19712 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 416 : 2048 18432 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 401 : 2048 12288 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 461 : 2048 12288 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 402 : 2048 12032 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 462 : 2048 18432 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 403 : 2048 0 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 464 : 2048 119584 0 0 0 256 64 0 0 
mlx_attention_proxy.1.sm_70.ptx 405 : 2048 20992 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 406 : 2048 14592 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 407 : 2048 13056 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 467 : 2048 25664 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 408 : 2048 13056 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 409 : 2048 14080 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 410 : 2048 0 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 412 : 2048 19456 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 413 : 2048 21504 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 414 : 2048 18432 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 415 : 2048 18432 0 0 0 0 0 0 0 
