kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mlx_attention_proxy.1.sm_70.ptx 777 : 16384 333984 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 770 : 16384 825280 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 748 : 16384 602208 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 747 : 16384 905376 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 744 : 524288 107789344 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 743 : 524288 79787680 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 742 : 524288 59186656 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 741 : 524288 41248576 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 740 : 524288 33215872 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 739 : 524288 32499040 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 738 : 524288 18592064 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 737 : 524288 198018592 0 0 0 16384 16384 0 0 
mlx_attention_proxy.1.sm_70.ptx 736 : 524288 345525056 0 0 0 524288 16384 0 0 
mlx_attention_proxy.1.sm_70.ptx 735 : 524288 18943168 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 734 : 524288 199065568 32 0 0 16384 16384 0 0 
mlx_attention_proxy.1.sm_70.ptx 733 : 524288 348450272 128 0 0 524288 16384 0 0 
mlx_attention_proxy.1.sm_70.ptx 732 : 524288 18834304 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 731 : 524288 199322080 0 0 0 16384 16384 0 0 
mlx_attention_proxy.1.sm_70.ptx 730 : 524288 351711776 0 0 0 524288 16384 0 0 
mlx_attention_proxy.1.sm_70.ptx 729 : 524288 20040928 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 728 : 524288 207908256 512 0 0 16384 16384 0 0 
mlx_attention_proxy.1.sm_70.ptx 727 : 524288 423296384 15998656 0 0 524288 16384 0 0 
mlx_attention_proxy.1.sm_70.ptx 705 : 16384 233984 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 704 : 16384 229376 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 703 : 16384 118528 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 702 : 16384 98304 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 701 : 16384 98304 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 700 : 16384 103680 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 699 : 16384 182784 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 698 : 16384 214528 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 697 : 16384 212992 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 696 : 16384 212992 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 695 : 16384 212992 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 724 : 16384 4069888 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 694 : 16384 211200 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 723 : 16384 2172736 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 693 : 16384 568832 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 722 : 16384 759584 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 706 : 16384 0 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 708 : 16384 99840 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 768 : 16384 572032 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 709 : 16384 104448 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 769 : 16384 1591520 32 0 0 512 512 0 0 
mlx_attention_proxy.1.sm_70.ptx 710 : 16384 0 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 771 : 16384 497600 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 712 : 16384 194048 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 772 : 16384 409376 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 713 : 16384 158720 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 773 : 16384 370112 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 714 : 16384 157504 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 774 : 16384 971296 0 0 0 2048 512 0 0 
mlx_attention_proxy.1.sm_70.ptx 715 : 16384 197792 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 716 : 16384 225024 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 717 : 16384 0 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 719 : 16384 505024 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 720 : 16384 467936 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 721 : 16384 489888 0 0 0 0 0 0 0 
