Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  1.62      1.30     1.30                             VTestHarness::_eval(VTestHarness__Syms*)
  1.56      2.55     1.25                             VTestHarness::_sequent__TOP__2029(VTestHarness__Syms*)
  1.46      3.72     1.17                             VTestHarness::_sequent__TOP__2020(VTestHarness__Syms*)
  1.42      4.86     1.14                             VTestHarness::_sequent__TOP__2030(VTestHarness__Syms*)
  1.41      5.99     1.13                             VTestHarness::_sequent__TOP__1979(VTestHarness__Syms*)
  1.38      7.10     1.11                             VTestHarness::_sequent__TOP__1962(VTestHarness__Syms*)
  1.37      8.20     1.10                             VTestHarness::_sequent__TOP__3812(VTestHarness__Syms*)
  1.31      9.25     1.05                             VTestHarness::_sequent__TOP__2012(VTestHarness__Syms*)
  1.27     10.27     1.02                             VTestHarness::_settle__TOP__1164(VTestHarness__Syms*)
  1.18     11.22     0.95                             VTestHarness::_sequent__TOP__2011(VTestHarness__Syms*)
  1.17     12.16     0.94                             VTestHarness::_sequent__TOP__1947(VTestHarness__Syms*)
  1.12     13.06     0.90                             VTestHarness::_sequent__TOP__2033(VTestHarness__Syms*)
  1.08     13.93     0.87                             VTestHarness::_sequent__TOP__2018(VTestHarness__Syms*)
  1.06     14.78     0.85                             VTestHarness::_sequent__TOP__1953(VTestHarness__Syms*)
  1.05     15.62     0.84                             VTestHarness::_sequent__TOP__68(VTestHarness__Syms*)
  1.02     16.44     0.82                             VTestHarness::_sequent__TOP__1967(VTestHarness__Syms*)
  1.01     17.25     0.81                             VTestHarness::_sequent__TOP__64(VTestHarness__Syms*)
  1.01     18.06     0.81                             VTestHarness::_sequent__TOP__67(VTestHarness__Syms*)
  0.96     18.83     0.77                             VTestHarness::_sequent__TOP__1985(VTestHarness__Syms*)
  0.95     19.59     0.76                             VTestHarness::_sequent__TOP__1969(VTestHarness__Syms*)
  0.95     20.35     0.76                             VTestHarness::_sequent__TOP__1980(VTestHarness__Syms*)
  0.94     21.10     0.75                             VTestHarness::_sequent__TOP__1940(VTestHarness__Syms*)
  0.94     21.85     0.75                             VTestHarness::_sequent__TOP__1944(VTestHarness__Syms*)
  0.94     22.60     0.75                             VTestHarness::_sequent__TOP__1982(VTestHarness__Syms*)
  0.94     23.35     0.75                             VTestHarness::_sequent__TOP__2041(VTestHarness__Syms*)
  0.93     24.09     0.74                             VTestHarness::_sequent__TOP__2038(VTestHarness__Syms*)
  0.91     24.82     0.73                             VTestHarness::_sequent__TOP__2022(VTestHarness__Syms*)
  0.91     25.55     0.73                             VTestHarness::_sequent__TOP__2039(VTestHarness__Syms*)
  0.90     26.27     0.72                             VTestHarness::_sequent__TOP__69(VTestHarness__Syms*)
  0.90     27.00     0.72                             VTestHarness::_sequent__TOP__2019(VTestHarness__Syms*)
  0.89     27.71     0.71                             VTestHarness::_sequent__TOP__3277(VTestHarness__Syms*)
  0.84     28.38     0.67                             VTestHarness::_sequent__TOP__1973(VTestHarness__Syms*)
  0.82     29.04     0.66                             VTestHarness::_sequent__TOP__1936(VTestHarness__Syms*)
