Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 39.56      1.08     1.08  1500537     0.00     0.00  mlx::shared_array::Resources::offer(unsigned long, unsigned int) const
 16.48      1.53     0.45  1505514     0.00     0.00  mlx::vector_schedule::Simulator::Impl::tick()
  7.69      1.74     0.21  1494381     0.00     0.00  mlx::matrix_schedule::Simulator::Impl::tick()
  3.30      1.83     0.09  1546378     0.00     0.00  mlx::shared_array::Resources::begin_cycle(unsigned long)
  2.93      1.91     0.08 47998320     0.00     0.00  mlx::shared_array::Resources::writeback_ready(unsigned int) const
  2.93      1.99     0.08  1505580     0.00     0.00  mlx::shared_array::Resources::live_spm_vectors(unsigned long) const
  2.56      2.06     0.07  1505514     0.00     0.00  mlx::model_events::CompletionWindow::advance(unsigned long)
  2.20      2.12     0.06 25594576     0.00     0.00  mlx::vector_schedule::Simulator::tick()
  2.20      2.18     0.06   307423     0.00     0.00  mlx::model_events::Mapping::dependencies(unsigned long) const
  1.83      2.23     0.05 19378878     0.00     0.00  mlx::shared_array::Lease::operator==(mlx::shared_array::Lease const&) const
  1.83      2.28     0.05  1505578     0.00     0.00  mlx::shared_array::Resources::live_contexts(unsigned long) const
  1.83      2.33     0.05        1     0.05     2.70  mlx::model_system::execute_ready_graph(Json::Value const&, Json::Value const&, std::filesystem::__cxx11::path const&)
  1.10      2.36     0.03  5549868     0.00     0.00  mlx::shared_array::Resources::validate_lease(mlx::shared_array::Lease const&) const
  1.10      2.39     0.03  5265089     0.00     0.00  mlx::shared_array::Resources::instruction(mlx::shared_array::Lease const&, unsigned int) const
  1.10      2.42     0.03  4719679     0.00     0.00  void std::vector<unsigned int, std::allocator<unsigned int> >::_M_realloc_insert<unsigned int>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int&&)
  1.10      2.45     0.03  1556698     0.00     0.00  mlx::model_system::PhysicalMemory::advance(unsigned long)
  1.10      2.48     0.03                             _init
  0.73      2.50     0.02  6031997     0.00     0.00  mlx::vector_schedule::(anonymous namespace)::check(bool, char const*)
  0.73      2.52     0.02  5583185     0.00     0.00  mlx::shared_array::Resources::template_ready(mlx::shared_array::Lease const&) const
  0.73      2.54     0.02  2988762     0.00     0.00  mlx::matrix_schedule::Simulator::done() const
  0.73      2.56     0.02  1505513     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__ops::_Iter_comp_iter<mlx::vector_schedule::Simulator::Impl::priority() const::{lambda(unsigned int, unsigned int)#1}> >(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__ops::_Iter_comp_iter<mlx::vector_schedule::Simulator::Impl::priority() const::{lambda(unsigned int, unsigned int)#1}>)
  0.73      2.58     0.02   547840     0.00     0.00  mlx::shared_array::Resources::spm(mlx::shared_array::Lease const&, unsigned int, unsigned int)
  0.73      2.60     0.02   188462     0.00     0.00  mlx::tensor_model::Tensor::position(unsigned long) const
  0.37      2.61     0.01  8245729     0.00     0.00  mlx::shared_array::Resources::resident(mlx::shared_array::Lease const&, bool) const
  0.37      2.62     0.01  6838222     0.00     0.00  mlx::shared_array::Resources::unit_ready(mlx::shared_array::Unit, unsigned int) const
  0.37      2.63     0.01  3092895     0.00     0.00  std::filesystem::__cxx11::path::~path()
  0.37      2.64     0.01  3051079     0.00     0.00  mlx::model_io::PhysicalMux::Channel::advance(unsigned long)
  0.37      2.65     0.01  2999895     0.00     0.00  mlx::shared_array::Resources::enter(unsigned long)
  0.37      2.66     0.01  2999895     0.00     0.00  mlx::shared_array::Resources::spm_ready() const
  0.37      2.67     0.01  1801804     0.00     0.00  mlx::model_events::PairFlow::revision() const
